region_id,Type_of_Equipment_Used
174,"Ballot Marking Device,Scanner"
175,"Ballot Marking Device,Scanner"
176,"Ballot Marking Device,Scanner"
177,"Ballot Marking Device,Scanner"
178,"Ballot Marking Device,Scanner"
179,"Ballot Marking Device,Scanner"
180,"Ballot Marking Device,Scanner"
181,"Ballot Marking Device,Scanner"
182,"Ballot Marking Device,Scanner"
183,"Ballot Marking Device,Scanner"
184,"Ballot Marking Device,Scanner"
185,"Ballot Marking Device,Scanner"
186,"Ballot Marking Device,Scanner"
187,"Ballot Marking Device,Scanner"
188,"Ballot Marking Device,Scanner"
189,"Ballot Marking Device,Scanner"
190,"Ballot Marking Device,Scanner"
191,"Ballot Marking Device,Scanner"
192,"Ballot Marking Device,Scanner"
193,"Ballot Marking Device,Scanner"
194,"Ballot Marking Device,Scanner"
195,"Ballot Marking Device,Scanner"
196,"Ballot Marking Device,Scanner"
197,"Ballot Marking Device,Scanner"
198,"Ballot Marking Device,Scanner"
199,"Ballot Marking Device,Scanner"
200,"Ballot Marking Device,Scanner"
201,"Ballot Marking Device,Scanner"
202,"Ballot Marking Device,Scanner"
203,"Ballot Marking Device,Scanner"
204,"Ballot Marking Device,Scanner"
205,"Ballot Marking Device,Scanner"
206,"Ballot Marking Device,Scanner"
207,"Ballot Marking Device,Scanner"
208,"Ballot Marking Device,Scanner"
209,"Ballot Marking Device,Scanner"
210,"Ballot Marking Device,Scanner"
211,"Ballot Marking Device,Scanner"
212,"Ballot Marking Device,Scanner"
213,"Ballot Marking Device,Scanner"
214,"Ballot Marking Device,Scanner"
215,"Ballot Marking Device,Scanner"
216,"Ballot Marking Device,Scanner"
217,"Ballot Marking Device,Scanner"
218,"Ballot Marking Device,Scanner"
219,"Ballot Marking Device,Scanner"
220,"Ballot Marking Device,Scanner"
221,"Ballot Marking Device,Scanner"
222,"Ballot Marking Device,Scanner"
223,"Ballot Marking Device,Scanner"
224,"Ballot Marking Device,Scanner"
225,"Ballot Marking Device,Scanner"
226,"Ballot Marking Device,Scanner"
227,"Ballot Marking Device,Scanner"
228,"Ballot Marking Device,Scanner"
229,"Ballot Marking Device,Scanner"
230,"Ballot Marking Device,Scanner"
231,"Ballot Marking Device,Scanner"
232,"Ballot Marking Device,Scanner"
233,"Ballot Marking Device,Scanner"
234,"Ballot Marking Device,Scanner"
235,"Ballot Marking Device,Scanner"
236,"Ballot Marking Device,Scanner"
237,"Ballot Marking Device,Scanner"
238,"Ballot Marking Device,Scanner"
239,"Ballot Marking Device,Scanner"
240,"Ballot Marking Device,Scanner"
241,"Ballot Marking Device,Scanner"
242,"Ballot Marking Device,Scanner"
243,"Ballot Marking Device,Scanner"
244,"Ballot Marking Device,Scanner"
245,"Ballot Marking Device,Scanner"
246,"Ballot Marking Device,Scanner"
247,"Ballot Marking Device,Scanner"
248,"Ballot Marking Device,Scanner"
249,"Ballot Marking Device,Scanner"
250,"Ballot Marking Device,Scanner"
251,"Ballot Marking Device,Scanner"
252,"Ballot Marking Device,Scanner"
253,"Ballot Marking Device,Scanner"
254,"Ballot Marking Device,Scanner"
255,"Ballot Marking Device,Scanner"
256,"Ballot Marking Device,Scanner"
257,"Ballot Marking Device,Scanner"
258,"Ballot Marking Device,Scanner"
259,"Ballot Marking Device,Scanner"
260,"Ballot Marking Device,Scanner"
261,"Ballot Marking Device,Scanner"
262,"Ballot Marking Device,Scanner"
263,"Ballot Marking Device,Scanner"
264,"Ballot Marking Device,Scanner"
265,"Ballot Marking Device,Scanner"
266,"Ballot Marking Device,Scanner"
267,"Ballot Marking Device,Scanner"
268,"Ballot Marking Device,Scanner"
269,"Ballot Marking Device,Scanner"
270,"Ballot Marking Device,Scanner"
271,"Ballot Marking Device,Scanner"
272,"Ballot Marking Device,Scanner"
273,Ballot Marking Device
274,"Ballot Marking Device,Scanner"
275,"Ballot Marking Device,Scanner"
276,"Ballot Marking Device,Scanner"
277,"Ballot Marking Device,Scanner"
278,"Ballot Marking Device,Scanner"
279,"Ballot Marking Device,Scanner"
280,"Ballot Marking Device,Scanner"
281,"Ballot Marking Device,Scanner"
282,"Ballot Marking Device,Scanner"
283,"Ballot Marking Device,Scanner"
284,"Ballot Marking Device,Scanner"
285,"Ballot Marking Device,Scanner"
286,"Ballot Marking Device,Scanner"
287,"Ballot Marking Device,Scanner"
288,"Ballot Marking Device,Scanner"
289,"Ballot Marking Device,Scanner"
290,"Ballot Marking Device,Scanner"
291,"Ballot Marking Device,Scanner"
292,"Ballot Marking Device,Scanner"
293,"Ballot Marking Device,Scanner"
294,"Ballot Marking Device,Scanner"
295,"Ballot Marking Device,Scanner"
296,"Ballot Marking Device,Scanner"
297,"Ballot Marking Device,Scanner"
298,"Ballot Marking Device,Scanner"
299,"Ballot Marking Device,Scanner"
300,"Ballot Marking Device,Scanner"
301,"Ballot Marking Device,Scanner"
302,"Ballot Marking Device,Scanner"
303,"Ballot Marking Device,Scanner"
304,"Ballot Marking Device,Scanner"
305,"Ballot Marking Device,Scanner"
306,"Ballot Marking Device,Scanner"
307,"Ballot Marking Device,Scanner"
308,"Ballot Marking Device,Scanner"
309,"Ballot Marking Device,Scanner"
310,"Ballot Marking Device,Scanner"
311,"Ballot Marking Device,Scanner"
312,"Ballot Marking Device,Scanner"
313,"Ballot Marking Device,Scanner"
314,"Ballot Marking Device,Scanner"
315,"Ballot Marking Device,Scanner"
316,"Ballot Marking Device,Scanner"
317,"Ballot Marking Device,Scanner"
318,"Ballot Marking Device,Scanner"
319,"Ballot Marking Device,Scanner"
320,"Ballot Marking Device,Scanner"
321,"Ballot Marking Device,Scanner"
322,"Ballot Marking Device,Scanner"
323,"Ballot Marking Device,Scanner"
324,"Ballot Marking Device,Scanner"
325,"Ballot Marking Device,Scanner"
326,"Ballot Marking Device,Scanner"
327,"Ballot Marking Device,Scanner"
328,"Ballot Marking Device,Scanner"
329,"Ballot Marking Device,Scanner"
330,"Ballot Marking Device,Scanner"
331,"Ballot Marking Device,Scanner"
332,"Ballot Marking Device,Scanner"
333,"Ballot Marking Device,Scanner"
334,"Ballot Marking Device,Scanner"
335,"Ballot Marking Device,Scanner"
336,"Ballot Marking Device,Scanner"
337,"Ballot Marking Device,Scanner"
338,"Ballot Marking Device,Scanner"
339,"Ballot Marking Device,Scanner"
340,"Ballot Marking Device,Scanner"
341,"Ballot Marking Device,Scanner"
342,"Ballot Marking Device,Scanner"
343,"Ballot Marking Device,Scanner"
344,"Ballot Marking Device,Scanner"
345,"Ballot Marking Device,Scanner"
346,"Ballot Marking Device,Scanner"
347,"Ballot Marking Device,Scanner"
348,"Ballot Marking Device,Scanner"
349,"Ballot Marking Device,Scanner"
350,"Ballot Marking Device,Scanner"
351,"Ballot Marking Device,Scanner"
352,"Ballot Marking Device,Scanner"
353,"Ballot Marking Device,Scanner"
354,"Ballot Marking Device,Scanner"
355,"Ballot Marking Device,Scanner"
356,"Ballot Marking Device,Scanner"
357,"Ballot Marking Device,Scanner"
358,"Ballot Marking Device,Scanner"
359,"Ballot Marking Device,Scanner"
360,"Ballot Marking Device,Scanner"
361,"Ballot Marking Device,Scanner"
362,"Ballot Marking Device,Scanner"
363,"Ballot Marking Device,Scanner"
364,"Ballot Marking Device,Scanner"
365,"Ballot Marking Device,Scanner"
366,"Ballot Marking Device,Scanner"
367,"Ballot Marking Device,Scanner"
368,"Ballot Marking Device,Scanner"
369,"Ballot Marking Device,Scanner"
370,"Ballot Marking Device,Scanner"
371,"Ballot Marking Device,Scanner"
372,"Ballot Marking Device,Scanner"
373,"Ballot Marking Device,Scanner"
374,"Ballot Marking Device,Scanner"
375,"Ballot Marking Device,Scanner"
376,"Ballot Marking Device,Scanner"
377,"Ballot Marking Device,Scanner"
378,"Ballot Marking Device,Scanner"
379,"Ballot Marking Device,Scanner"
380,"Ballot Marking Device,Scanner"
381,"Ballot Marking Device,Scanner"
382,"Ballot Marking Device,Scanner"
383,"Ballot Marking Device,Scanner"
384,"Ballot Marking Device,Scanner"
385,"Ballot Marking Device,Scanner"
386,"Ballot Marking Device,Scanner"
387,"Ballot Marking Device,Scanner"
388,"Ballot Marking Device,Scanner"
389,"Ballot Marking Device,Scanner"
390,"Ballot Marking Device,Scanner"
391,"Ballot Marking Device,Scanner"
392,"Ballot Marking Device,Scanner"
393,"Ballot Marking Device,Scanner"
394,"Ballot Marking Device,Scanner"
395,"Ballot Marking Device,Scanner"
396,"Ballot Marking Device,Scanner"
397,"Ballot Marking Device,Scanner"
398,"Ballot Marking Device,Scanner"
399,"Ballot Marking Device,Scanner"
400,"Ballot Marking Device,Scanner"
401,"Ballot Marking Device,Scanner"
402,"Ballot Marking Device,Scanner"
403,"Ballot Marking Device,Scanner"
404,"Ballot Marking Device,Scanner"
405,"Ballot Marking Device,Scanner"
406,"Ballot Marking Device,Scanner"
407,"Ballot Marking Device,Scanner"
408,"Ballot Marking Device,Scanner"
409,"Ballot Marking Device,Scanner"
410,"Ballot Marking Device,Scanner"
411,"Ballot Marking Device,Scanner"
412,"Ballot Marking Device,Scanner"
413,"Ballot Marking Device,Scanner"
414,"Ballot Marking Device,Scanner"
415,"Ballot Marking Device,Scanner"
416,"Ballot Marking Device,Scanner"
417,"Ballot Marking Device,Scanner"
418,"Ballot Marking Device,Scanner"
419,"Ballot Marking Device,Scanner"
420,"Ballot Marking Device,Scanner"
421,"Ballot Marking Device,Scanner"
422,"Ballot Marking Device,Scanner"
423,"Ballot Marking Device,Scanner"
424,"Ballot Marking Device,Scanner"
425,"Ballot Marking Device,Scanner"
426,"Ballot Marking Device,Scanner"
427,"Ballot Marking Device,Scanner"
428,"Ballot Marking Device,Scanner"
429,"Ballot Marking Device,Scanner"
430,"Ballot Marking Device,Scanner"
431,"Ballot Marking Device,Scanner"
432,"Ballot Marking Device,Scanner"
433,"Ballot Marking Device,Scanner"
434,"Ballot Marking Device,Scanner"
435,"Ballot Marking Device,Scanner"
436,"Ballot Marking Device,Scanner"
437,"Ballot Marking Device,Scanner"
438,"Ballot Marking Device,Scanner"
439,"Ballot Marking Device,Scanner"
440,"Ballot Marking Device,Scanner"
441,"Ballot Marking Device,Scanner"
442,"Ballot Marking Device,Scanner"
443,"Ballot Marking Device,Scanner"
444,"Ballot Marking Device,Scanner"
445,"Ballot Marking Device,Scanner"
446,"Ballot Marking Device,Scanner"
447,"Ballot Marking Device,Scanner"
448,"Ballot Marking Device,Scanner"
449,"Ballot Marking Device,Scanner"
450,"DRE with VVPAT,Scanner"
451,"DRE with VVPAT,Scanner"
452,"DRE with VVPAT,Scanner"
453,"Ballot Marking Device,Scanner"
454,Scanner
455,Scanner
456,"Ballot Marking Device,Scanner"
457,"Ballot Marking Device,Scanner"
458,"Ballot Marking Device,Scanner"
459,Scanner
460,"Ballot Marking Device,Scanner"
461,"Ballot Marking Device,Scanner"
462,"Ballot Marking Device,Scanner"
463,"Ballot Marking Device,Scanner"
464,"Ballot Marking Device,Scanner"
465,"Ballot Marking Device,Scanner"
466,"Ballot Marking Device,Scanner"
467,Scanner
468,"Ballot Marking Device,Scanner"
469,"Ballot Marking Device,Scanner"
470,"Ballot Marking Device,Scanner"
471,Scanner
472,"Ballot Marking Device,Scanner"
473,"Ballot Marking Device,Scanner"
474,"Ballot Marking Device,Scanner"
475,"Ballot Marking Device,Scanner"
476,"Ballot Marking Device,Scanner"
477,Scanner
478,"Ballot Marking Device,Scanner"
479,Scanner
480,"Ballot Marking Device,Scanner"
481,"Ballot Marking Device,Scanner"
482,"Ballot Marking Device,Scanner"
483,"Ballot Marking Device,Scanner"
484,"Ballot Marking Device,Scanner"
485,"Ballot Marking Device,Scanner"
486,"Ballot Marking Device,Scanner"
487,"Ballot Marking Device,Scanner"
488,"Ballot Marking Device,Scanner"
489,Scanner
490,Scanner
491,"Ballot Marking Device,Scanner"
492,"Ballot Marking Device,Scanner"
493,"Ballot Marking Device,Scanner"
494,"Ballot Marking Device,Scanner"
495,"Ballot Marking Device,Scanner"
496,"Ballot Marking Device,Scanner"
497,"Ballot Marking Device,Scanner"
498,"Ballot Marking Device,Scanner"
499,"Ballot Marking Device,Scanner"
500,"Ballot Marking Device,Scanner"
501,"Ballot Marking Device,Scanner"
502,"Ballot Marking Device,Scanner"
503,"Ballot Marking Device,Scanner"
504,"Ballot Marking Device,Scanner"
505,"Ballot Marking Device,Scanner"
506,"Ballot Marking Device,Scanner"
507,"Ballot Marking Device,Scanner"
508,"Ballot Marking Device,Scanner"
509,"Ballot Marking Device,Scanner"
510,"Ballot Marking Device,Scanner"
511,"Ballot Marking Device,Scanner"
512,"Ballot Marking Device,Scanner"
513,"Ballot Marking Device,Scanner"
514,Scanner
515,"Ballot Marking Device,Scanner"
516,"Ballot Marking Device,Scanner"
517,"Ballot Marking Device,Scanner"
518,"Ballot Marking Device,Scanner"
519,"Ballot Marking Device,Scanner"
520,"Ballot Marking Device,Scanner"
521,"Ballot Marking Device,Scanner"
522,"Ballot Marking Device,Scanner"
523,"Ballot Marking Device,Scanner"
524,"Ballot Marking Device,Scanner"
525,"Ballot Marking Device,Scanner"
526,"Ballot Marking Device,Scanner"
527,"Ballot Marking Device,Scanner"
528,"Ballot Marking Device,Scanner"
529,"Ballot Marking Device,Scanner"
530,"Ballot Marking Device,Scanner"
531,"Ballot Marking Device,Scanner"
532,"Ballot Marking Device,Scanner"
533,"Ballot Marking Device,Scanner"
534,"Ballot Marking Device,Scanner"
535,"Ballot Marking Device,Scanner"
536,"Ballot Marking Device,Scanner"
537,"Ballot Marking Device,Scanner"
538,"Ballot Marking Device,Scanner"
539,"Ballot Marking Device,Scanner"
540,"Ballot Marking Device,Scanner"
541,"Ballot Marking Device,Scanner"
542,"Ballot Marking Device,Scanner"
543,"Ballot Marking Device,Scanner"
544,"Ballot Marking Device,Scanner"
545,"Ballot Marking Device,Scanner"
546,"Ballot Marking Device,Scanner"
547,"Ballot Marking Device,Scanner"
548,"Ballot Marking Device,Scanner"
549,"Ballot Marking Device,Scanner"
550,"Ballot Marking Device,Scanner"
551,"Ballot Marking Device,Scanner"
552,"Ballot Marking Device,Scanner"
553,"Ballot Marking Device,Scanner"
554,"Ballot Marking Device,Scanner"
555,"Ballot Marking Device,Scanner"
556,"Ballot Marking Device,Scanner"
557,"Ballot Marking Device,Scanner"
558,"Ballot Marking Device,Scanner"
559,"Ballot Marking Device,Scanner"
560,"Ballot Marking Device,Scanner"
561,"Ballot Marking Device,Scanner"
562,"Ballot Marking Device,Scanner"
563,"Ballot Marking Device,Scanner"
564,"Ballot Marking Device,Scanner"
565,"Ballot Marking Device,Scanner"
566,"Ballot Marking Device,Scanner"
567,"Ballot Marking Device,Scanner"
568,"Ballot Marking Device,Scanner"
569,"Ballot Marking Device,Scanner"
570,"Ballot Marking Device,Scanner"
571,"Ballot Marking Device,Scanner"
572,"Ballot Marking Device,Scanner"
573,"Ballot Marking Device,Scanner"
574,"Ballot Marking Device,Scanner"
575,"Ballot Marking Device,Scanner"
576,"Ballot Marking Device,Scanner"
577,"Ballot Marking Device,Scanner"
578,"Ballot Marking Device,Scanner"
579,"Ballot Marking Device,Scanner"
580,"Ballot Marking Device,Scanner"
581,"Ballot Marking Device,Scanner"
582,"Ballot Marking Device,Scanner"
583,"Ballot Marking Device,Scanner"
584,"Ballot Marking Device,Scanner"
585,"Ballot Marking Device,Scanner"
586,"Ballot Marking Device,Scanner"
587,"Ballot Marking Device,Scanner"
588,"Ballot Marking Device,Scanner"
589,"Ballot Marking Device,Scanner"
590,"Ballot Marking Device,Scanner"
591,"Ballot Marking Device,Scanner"
592,"Ballot Marking Device,Scanner"
593,"Ballot Marking Device,Scanner"
594,"Ballot Marking Device,Scanner"
595,"Ballot Marking Device,Scanner"
596,"Ballot Marking Device,Scanner"
597,"Ballot Marking Device,Scanner"
598,"Ballot Marking Device,Scanner"
599,"Ballot Marking Device,Scanner"
600,"Ballot Marking Device,Scanner"
601,"Ballot Marking Device,Scanner"
602,"Ballot Marking Device,Scanner"
603,"Ballot Marking Device,Scanner"
604,"Ballot Marking Device,Scanner"
605,"Ballot Marking Device,Scanner"
606,"Ballot Marking Device,Scanner"
607,"Ballot Marking Device,Scanner"
608,"Ballot Marking Device,Scanner"
609,"Ballot Marking Device,Scanner"
610,"Ballot Marking Device,Scanner"
611,"Ballot Marking Device,Scanner"
612,"Ballot Marking Device,Scanner"
613,"Ballot Marking Device,Scanner"
614,"Ballot Marking Device,Scanner"
615,"Ballot Marking Device,Scanner"
616,"Ballot Marking Device,Scanner"
617,"Ballot Marking Device,Scanner"
618,"Ballot Marking Device,Scanner"
619,"Ballot Marking Device,Scanner"
620,"Ballot Marking Device,Scanner"
621,"Ballot Marking Device,Scanner"
622,"Ballot Marking Device,Scanner"
623,"Ballot Marking Device,Scanner"
624,"Ballot Marking Device,Scanner"
625,"Ballot Marking Device,Scanner"
626,"Ballot Marking Device,Scanner"
627,"Ballot Marking Device,Scanner"
628,"Ballot Marking Device,Scanner"
629,"Ballot Marking Device,Scanner"
630,"Ballot Marking Device,Scanner"
631,"Ballot Marking Device,Scanner"
632,"Ballot Marking Device,Scanner"
633,"Ballot Marking Device,Scanner"
634,"Ballot Marking Device,Scanner"
635,"Ballot Marking Device,Scanner"
636,"Ballot Marking Device,Scanner"
637,"Ballot Marking Device,Scanner"
638,"Ballot Marking Device,Scanner"
639,"Ballot Marking Device,Scanner"
640,"Ballot Marking Device,Scanner"
641,"Ballot Marking Device,Scanner"
642,"Ballot Marking Device,Scanner"
643,"Ballot Marking Device,Scanner"
644,"Ballot Marking Device,Scanner"
645,"Ballot Marking Device,Scanner"
646,"Ballot Marking Device,Scanner"
647,"Ballot Marking Device,Scanner"
648,"Ballot Marking Device,Scanner"
649,"Ballot Marking Device,Scanner"
650,"Ballot Marking Device,Scanner"
651,"Ballot Marking Device,Scanner"
652,"Ballot Marking Device,Scanner"
653,"Ballot Marking Device,Scanner"
654,"Ballot Marking Device,Scanner"
655,"Ballot Marking Device,Scanner"
656,"Ballot Marking Device,Scanner"
657,"Ballot Marking Device,Scanner"
658,"Ballot Marking Device,Scanner"
659,"Ballot Marking Device,Scanner"
660,"Ballot Marking Device,Scanner"
661,"Ballot Marking Device,Scanner"
662,"Ballot Marking Device,Scanner"
663,"Ballot Marking Device,Scanner"
664,"Ballot Marking Device,Scanner"
665,"Ballot Marking Device,Scanner"
666,"Ballot Marking Device,Scanner"
667,"Ballot Marking Device,Scanner"
668,"Ballot Marking Device,Scanner"
669,"Ballot Marking Device,Scanner"
670,"Ballot Marking Device,Scanner"
671,"Ballot Marking Device,Scanner"
672,"Ballot Marking Device,Scanner"
673,"Ballot Marking Device,Scanner"
674,"Ballot Marking Device,Scanner"
675,"Ballot Marking Device,Scanner"
676,"Ballot Marking Device,Scanner"
677,"Ballot Marking Device,Scanner"
678,"Ballot Marking Device,Scanner"
679,"Ballot Marking Device,Scanner"
680,"Ballot Marking Device,Scanner"
681,"Ballot Marking Device,Scanner"
683,"Ballot Marking Device,Scanner"
684,"Ballot Marking Device,Scanner"
685,"Ballot Marking Device,Scanner"
686,Ballot Marking Device
687,"Ballot Marking Device,Scanner"
688,Ballot Marking Device
689,Ballot Marking Device
690,"Ballot Marking Device,Scanner"
691,"Ballot Marking Device,Scanner"
692,"Ballot Marking Device,Scanner"
693,"Ballot Marking Device,Scanner"
694,"Ballot Marking Device,Scanner"
695,"Ballot Marking Device,Scanner"
696,Ballot Marking Device
697,Ballot Marking Device
698,"Ballot Marking Device,Scanner"
699,"Ballot Marking Device,Scanner"
700,"Ballot Marking Device,Scanner"
701,Ballot Marking Device
702,"Ballot Marking Device,Scanner"
703,Ballot Marking Device
704,"Ballot Marking Device,Scanner"
705,"Ballot Marking Device,Scanner"
706,"Ballot Marking Device,Scanner"
707,"Ballot Marking Device,Scanner"
708,"Ballot Marking Device,Scanner"
709,"Ballot Marking Device,Scanner"
710,"Ballot Marking Device,Scanner"
711,"Ballot Marking Device,Scanner"
712,"Ballot Marking Device,Scanner"
713,"Ballot Marking Device,Scanner"
714,"Ballot Marking Device,Scanner"
715,"Ballot Marking Device,Scanner"
716,"Ballot Marking Device,Scanner"
717,"Ballot Marking Device,Scanner"
718,"Ballot Marking Device,Scanner"
719,"Ballot Marking Device,Scanner"
720,"Ballot Marking Device,Scanner"
721,"Ballot Marking Device,Scanner"
722,"Ballot Marking Device,Scanner"
723,"Ballot Marking Device,Scanner"
724,"Ballot Marking Device,Scanner"
725,"Ballot Marking Device,Scanner"
726,"Ballot Marking Device,Scanner"
727,"Ballot Marking Device,Scanner"
728,"Ballot Marking Device,Scanner"
729,"Ballot Marking Device,Scanner"
730,"Ballot Marking Device,Scanner"
731,"Ballot Marking Device,Scanner"
732,Ballot Marking Device
733,"Ballot Marking Device,Scanner"
734,"Ballot Marking Device,Scanner"
735,"Ballot Marking Device,Scanner"
736,"Ballot Marking Device,Scanner"
737,"Ballot Marking Device,DRE with VVPAT,Scanner"
738,Ballot Marking Device
739,"Ballot Marking Device,Scanner"
740,"Ballot Marking Device,Scanner"
741,Ballot Marking Device
742,"Ballot Marking Device,Scanner"
743,"Ballot Marking Device,Scanner"
744,"Ballot Marking Device,Scanner"
745,"Ballot Marking Device,Scanner"
746,"Ballot Marking Device,Scanner"
747,"Ballot Marking Device,Scanner"
748,"Ballot Marking Device,Scanner"
749,"Ballot Marking Device,Scanner"
750,"Ballot Marking Device,Scanner"
751,"Ballot Marking Device,Scanner"
752,"Ballot Marking Device,Scanner"
753,"Ballot Marking Device,Scanner"
754,"Ballot Marking Device,Scanner"
755,"Ballot Marking Device,Scanner"
756,"Ballot Marking Device,Scanner"
757,"Ballot Marking Device,Scanner"
758,"Ballot Marking Device,Scanner"
759,"Ballot Marking Device,Scanner"
760,"Ballot Marking Device,Scanner"
761,"Ballot Marking Device,Scanner"
762,"Ballot Marking Device,Scanner"
763,"Ballot Marking Device,Scanner"
764,"Ballot Marking Device,Scanner"
765,"Ballot Marking Device,Scanner"
766,"Ballot Marking Device,Scanner"
767,"Ballot Marking Device,Scanner"
768,"Ballot Marking Device,Scanner"
769,"Ballot Marking Device,Scanner"
770,"Ballot Marking Device,Scanner"
771,"Ballot Marking Device,Scanner"
772,"Ballot Marking Device,Scanner"
773,"Ballot Marking Device,Scanner"
774,"Ballot Marking Device,Scanner"
775,"Ballot Marking Device,Scanner"
776,"Ballot Marking Device,Scanner"
777,DRE with VVPAT
778,"Ballot Marking Device,Scanner"
779,Ballot Marking Device
780,"Ballot Marking Device,Scanner"
781,"Ballot Marking Device,Scanner"
782,"Ballot Marking Device,Scanner"
783,"Ballot Marking Device,Scanner"
784,"Ballot Marking Device,Scanner"
785,"Ballot Marking Device,Scanner"
786,"Ballot Marking Device,Scanner"
787,"Ballot Marking Device,Scanner"
788,"Ballot Marking Device,Scanner"
789,"Ballot Marking Device,Scanner"
790,"Ballot Marking Device,Scanner"
791,Ballot Marking Device
792,"Ballot Marking Device,Scanner"
793,"Ballot Marking Device,Scanner"
794,"Ballot Marking Device,Scanner"
795,"Ballot Marking Device,Scanner"
796,"Ballot Marking Device,Scanner"
797,"Ballot Marking Device,Scanner"
798,"Ballot Marking Device,Scanner"
799,"Ballot Marking Device,Scanner"
800,"Ballot Marking Device,Scanner"
801,Ballot Marking Device
802,"Ballot Marking Device,Scanner"
803,"Ballot Marking Device,Scanner"
804,Ballot Marking Device
805,"Ballot Marking Device,Scanner"
806,"DRE with VVPAT,Scanner"
807,"Ballot Marking Device,Scanner"
808,Ballot Marking Device
809,"Ballot Marking Device,Scanner"
810,"Ballot Marking Device,Scanner"
811,"Ballot Marking Device,Scanner"
812,"Ballot Marking Device,Scanner"
813,"Ballot Marking Device,Scanner"
814,"Ballot Marking Device,Scanner"
815,"Ballot Marking Device,Scanner"
816,"Ballot Marking Device,Scanner"
817,"Ballot Marking Device,Scanner"
818,"Ballot Marking Device,Scanner"
819,"Ballot Marking Device,Scanner"
820,"Ballot Marking Device,Scanner"
821,"Ballot Marking Device,Scanner"
822,"Ballot Marking Device,Scanner"
