region_id,region_name,equipment_quality_score,mail_rejected,provisional_rejected,uocava_rejected,total_rejected_ballots,absentee_ballots_counted,early_in_person_ballots,election_day_ballots,provisional_ballots_counted,total_ballots,percent_rejected_ballots
24,Dallas County,0.00,0.0,24.0,0.0,24.0,1038.0,0.0,1038.0,2.0,15631.0,0.15
25,Dekalb County,0.00,18.0,64.0,0.0,82.0,1283.0,0.0,1268.0,25.0,29756.0,0.28
26,Elmore County,0.00,12.0,60.0,0.0,72.0,1943.0,0.0,1943.0,48.0,41729.0,0.17
27,Escambia County,0.00,6.0,62.0,0.0,68.0,716.0,0.0,716.0,25.0,15009.0,0.45
28,Etowah County,0.00,149.0,353.0,0.0,502.0,2605.0,0.0,2605.0,242.0,46281.0,1.08
29,Fayette County,0.00,2.0,11.0,0.0,13.0,293.0,0.0,293.0,14.0,8417.0,0.15
30,Franklin County,0.00,6.0,0.0,0.0,6.0,464.0,0.0,464.0,2.0,12159.0,0.05
31,Geneva County,0.00,9.0,3.0,0.0,12.0,437.0,0.0,437.0,20.0,12444.0,0.1
32,Greene County,0.00,0.0,0.0,0.0,0.0,372.0,0.0,372.0,1.0,4056.0,0.0
33,Hale County,0.00,0.0,11.0,0.0,11.0,386.0,0.0,386.0,17.0,7298.0,0.15
34,Henry County,0.00,10.0,19.0,0.0,29.0,497.0,0.0,497.0,8.0,9355.0,0.31
35,Houston County,0.00,36.0,65.0,0.0,101.0,2278.0,0.0,2278.0,264.0,44554.0,0.23
36,Jackson County,0.00,0.0,22.0,0.0,22.0,1205.0,0.0,1205.0,14.0,23650.0,0.09
37,Jefferson County,0.00,622.0,444.0,649.0,1715.0,15841.0,0.0,15841.0,403.0,299855.0,0.57
38,Lamar County,0.00,0.0,6.0,0.0,6.0,398.0,0.0,398.0,5.0,6923.0,0.09
39,Lauderdale County,0.00,0.0,154.0,0.0,154.0,2333.0,0.0,2333.0,123.0,43816.0,0.35
40,Lawrence County,0.00,3.0,23.0,0.0,26.0,446.0,0.0,446.0,74.0,16173.0,0.16
41,Lee County,0.00,144.0,0.0,0.0,144.0,4789.0,0.0,4789.0,0.0,73353.0,0.2
42,Limestone County,0.00,0.0,233.0,0.0,233.0,3151.0,0.0,3151.0,432.0,53500.0,0.44
43,Lowndes County,0.00,0.0,10.0,0.0,10.0,538.0,0.0,538.0,12.0,5708.0,0.18
44,Macon County,0.00,0.0,63.0,0.0,63.0,535.0,0.0,535.0,16.0,7876.0,0.8
45,Madison County,0.00,0.0,229.0,0.0,229.0,15310.0,0.0,15310.0,560.0,197868.0,0.12
46,Marengo County,0.00,7.0,53.0,0.0,60.0,678.0,0.0,678.0,15.0,9719.0,0.62
47,Marion County,0.00,0.0,8.0,0.0,8.0,451.0,0.0,451.0,15.0,13587.0,0.06
48,Marshall County,0.00,0.0,149.0,0.0,149.0,1731.0,0.0,1731.0,100.0,40499.0,0.37
49,Mobile County,0.00,0.0,1424.0,0.0,1424.0,8611.0,0.0,8611.0,1587.0,176019.0,0.81
50,Monroe County,0.00,30.0,0.0,0.0,30.0,770.0,0.0,770.0,0.0,9860.0,0.3
51,Montgomery County,0.00,45.0,416.0,0.0,461.0,6818.0,0.0,6818.0,290.0,90268.0,0.51
52,Morgan County,0.00,0.0,156.0,0.0,156.0,2340.0,0.0,2340.0,189.0,53721.0,0.29
53,Perry County,0.00,0.0,0.0,0.0,0.0,627.0,0.0,627.0,17.0,4477.0,0.0
54,Pickens County,0.00,0.0,3.0,0.0,3.0,453.0,0.0,453.0,12.0,8929.0,0.03
55,Pike County,0.00,8.0,27.0,0.0,35.0,485.0,0.0,485.0,20.0,13292.0,0.26
56,Randolph County,0.00,0.0,6.0,0.0,6.0,645.0,0.0,645.0,2.0,11128.0,0.05
57,Russell County,0.00,0.0,12.0,0.0,12.0,1732.0,0.0,1732.0,24.0,20794.0,0.06
58,St. Clair County,0.00,6.0,69.0,0.0,75.0,2305.0,0.0,2305.0,795.0,43621.0,0.17
59,Shelby County,0.00,0.0,0.0,0.0,0.0,5759.0,0.0,5759.0,0.0,114957.0,0.0
60,Sumter County,0.00,0.0,11.0,0.0,11.0,506.0,0.0,506.0,3.0,5330.0,0.21
61,Talladega County,0.00,39.0,107.0,0.0,146.0,1389.0,0.0,1389.0,52.0,33329.0,0.44
62,Tallapoosa County,0.00,4.0,24.0,0.0,28.0,1094.0,0.0,1094.0,29.0,20127.0,0.14
63,Tuscaloosa County,0.00,141.0,165.0,0.0,306.0,4212.0,0.0,4264.0,185.0,85509.0,0.36
64,Walker County,0.00,0.0,75.0,0.0,75.0,859.0,0.0,859.0,79.0,29888.0,0.25
65,Washington County,0.00,0.0,33.0,0.0,33.0,447.0,0.0,447.0,13.0,8489.0,0.39
66,Wilcox County,0.00,4.0,26.0,0.0,30.0,693.0,0.0,693.0,3.0,5287.0,0.57
67,Winston County,0.00,9.0,10.0,0.0,19.0,454.0,0.0,454.0,8.0,11188.0,0.17
68,Alaska,0.75,872.0,352.0,196.0,1420.0,48744.0,9629.0,48744.0,4027.0,340981.0,0.42
69,Apache County,0.92,755.0,1287.0,0.0,2042.0,3461.0,55.0,3461.0,2238.0,32685.0,6.25
70,Cochise County,0.90,681.0,320.0,8.0,1009.0,42124.0,368.0,42124.0,328.0,59501.0,1.7
71,Coconino County,0.82,263.0,1089.0,5.0,1357.0,49440.0,592.0,49440.0,530.0,70993.0,1.91
72,Gila County,0.92,80.0,189.0,1.0,270.0,19750.0,44.0,19750.0,193.0,27979.0,0.97
73,Graham County,0.84,31.0,13.0,0.0,44.0,8889.0,28.0,8889.0,89.0,15327.0,0.29
74,Greenlee County,0.88,69.0,27.0,0.0,96.0,2023.0,16.0,2023.0,19.0,3341.0,2.87
75,La Paz County,0.87,4.0,98.0,0.0,102.0,4567.0,24.0,4567.0,538.0,7700.0,1.32
76,Maricopa County,0.78,9992.0,22428.0,459.0,32879.0,1812040.0,10403.0,1593632.0,3497.0,2078460.0,1.58
77,Mohave County,0.92,413.0,622.0,3.0,1038.0,68876.0,261.0,68876.0,1771.0,111355.0,0.93
78,Navajo County,0.92,262.0,665.0,0.0,927.0,33399.0,118.0,32896.0,622.0,51386.0,1.8
79,Pima County,0.92,9332.0,3294.0,10.0,12636.0,442409.0,4607.0,442409.0,3555.0,568431.0,2.22
80,Pinal County,0.92,698.0,2433.0,18.0,3149.0,148638.0,495.0,148638.0,1231.0,211594.0,1.49
81,Santa Cruz County,0.90,361.0,233.0,1.0,595.0,12879.0,109.0,12879.0,143.0,19428.0,3.06
82,Yavapai County,0.92,508.0,935.0,4.0,1447.0,117691.0,963.0,117691.0,325.0,150885.0,0.96
83,Yuma County,0.90,1622.0,525.0,5.0,2152.0,50699.0,366.0,50699.0,662.0,68910.0,3.12
84,Arkansas County,0.89,12.0,8.0,0.0,20.0,71.0,2.0,71.0,3.0,5577.0,0.36
85,Ashley County,0.88,7.0,8.0,0.0,15.0,183.0,4.0,183.0,6.0,7054.0,0.21
86,Baxter County,0.92,37.0,15.0,0.0,52.0,698.0,14.0,701.0,6.0,21050.0,0.25
87,Benton County,0.90,219.0,904.0,6.0,1129.0,2940.0,0.0,2940.0,107.0,129545.0,0.87
88,Boone County,0.89,14.0,51.0,0.0,65.0,367.0,22.0,367.0,9.0,17220.0,0.38
89,Bradley County,0.89,1.0,4.0,0.0,5.0,63.0,0.0,63.0,6.0,3225.0,0.16
90,Calhoun County,0.86,1.0,21.0,0.0,22.0,43.0,1.0,43.0,7.0,2104.0,1.05
91,Carroll County,0.88,24.0,161.0,5.0,190.0,289.0,28.0,289.0,45.0,11583.0,1.64
92,Chicot County,0.84,12.0,5.0,0.0,17.0,147.0,5.0,147.0,8.0,3522.0,0.48
93,Clark County,0.00,6.0,0.0,0.0,6.0,232.0,0.0,232.0,0.0,7696.0,0.08
94,Clay County,0.92,5.0,69.0,0.0,74.0,28.0,5.0,0.0,3.0,4899.0,1.51
95,Cleburne County,0.92,51.0,0.0,9.0,60.0,333.0,15.0,318.0,2.0,12803.0,0.47
96,Cleveland County,0.92,0.0,0.0,0.0,0.0,43.0,0.0,43.0,5.0,3386.0,0.0
97,Columbia County,0.86,8.0,27.0,0.0,35.0,254.0,4.0,254.0,44.0,8017.0,0.44
98,Conway County,0.87,91.0,91.0,0.0,182.0,344.0,0.0,344.0,24.0,8594.0,2.12
99,Craighead County,0.90,82.0,458.0,22.0,562.0,703.0,29.0,703.0,40.0,37455.0,1.5
100,Crawford County,0.90,57.0,140.0,0.0,197.0,428.0,7.0,428.0,13.0,23934.0,0.82
101,Crittenden County,0.87,26.0,161.0,9.0,196.0,322.0,9.0,322.0,31.0,14797.0,1.32
102,Cross County,0.87,23.0,59.0,0.0,82.0,167.0,7.0,170.0,28.0,6660.0,1.23
103,Dallas County,0.92,0.0,0.0,0.0,0.0,46.0,0.0,46.0,1.0,2333.0,0.0
104,Desha County,0.65,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0
105,Drew County,0.92,4.0,3.0,0.0,7.0,150.0,10.0,150.0,7.0,6384.0,0.11
106,Faulkner County,0.89,75.0,236.0,5.0,316.0,845.0,55.0,845.0,48.0,54764.0,0.58
107,Franklin County,0.92,0.0,79.0,0.0,79.0,136.0,7.0,108.0,9.0,6858.0,1.15
108,Fulton County,0.85,4.0,17.0,0.0,21.0,123.0,7.0,123.0,4.0,5075.0,0.41
109,Garland County,0.88,43.0,105.0,1.0,149.0,1072.0,58.0,1072.0,73.0,42538.0,0.35
110,Grant County,0.86,0.0,4.0,0.0,4.0,101.0,1.0,101.0,0.0,8118.0,0.05
111,Greene County,0.88,51.0,151.0,0.0,202.0,296.0,7.0,296.0,3.0,15879.0,1.27
112,Hempstead County,0.92,10.0,74.0,0.0,84.0,265.0,4.0,275.0,3.0,6141.0,1.37
113,Hot Spring County,0.87,57.0,55.0,0.0,112.0,248.0,5.0,248.0,12.0,12326.0,0.91
114,Howard County,0.88,0.0,0.0,0.0,0.0,129.0,0.0,129.0,0.0,4490.0,0.0
115,Independence County,0.92,31.0,36.0,0.0,67.0,220.0,9.0,214.0,15.0,14090.0,0.48
116,Izard County,0.73,0.0,0.0,0.0,0.0,128.0,0.0,129.0,0.0,5964.0,0.0
117,Jackson County,0.92,13.0,13.0,0.0,26.0,46.0,3.0,72.0,2.0,4811.0,0.54
118,Jefferson County,0.88,16.0,0.0,16.0,32.0,519.0,18.0,519.0,0.0,21695.0,0.15
119,Johnson County,0.89,18.0,49.0,0.0,67.0,212.0,4.0,212.0,36.0,9094.0,0.74
120,Lafayette County,0.00,14.0,0.0,0.0,14.0,126.0,0.0,126.0,0.0,2346.0,0.6
121,Lawrence County,0.82,8.0,0.0,0.0,8.0,114.0,15.0,103.0,0.0,5745.0,0.14
122,Lee County,0.72,5.0,0.0,0.0,5.0,272.0,0.0,259.0,5.0,0.0,inf
123,Lincoln County,0.88,16.0,13.0,0.0,29.0,85.0,1.0,85.0,3.0,3387.0,0.86
124,Little River County,0.88,6.0,4.0,0.0,10.0,101.0,1.0,101.0,7.0,4927.0,0.2
125,Logan County,0.88,15.0,137.0,1.0,153.0,150.0,5.0,150.0,0.0,8234.0,1.86
126,Lonoke County,0.90,8.0,96.0,3.0,107.0,500.0,41.0,500.0,17.0,30731.0,0.35
127,Madison County,0.90,6.0,13.0,1.0,20.0,121.0,7.0,121.0,4.0,7546.0,0.27
128,Marion County,0.88,2.0,0.0,0.0,2.0,232.0,0.0,232.0,29.0,7920.0,0.03
129,Miller County,0.82,1.0,0.0,0.0,1.0,249.0,16.0,249.0,0.0,15842.0,0.01
130,Mississippi County,0.86,10.0,0.0,0.0,10.0,182.0,9.0,182.0,4.0,10774.0,0.09
131,Monroe County,0.84,1.0,0.0,0.0,1.0,52.0,0.0,52.0,1.0,2446.0,0.04
132,Montgomery County,0.83,0.0,0.0,5.0,5.0,139.0,2.0,104.0,0.0,3718.0,0.13
133,Nevada County,0.88,5.0,1.0,0.0,6.0,75.0,0.0,80.0,60.0,2921.0,0.21
134,Newton County,0.83,0.0,0.0,0.0,0.0,99.0,0.0,99.0,0.0,2943.0,0.0
135,Ouachita County,0.92,4.0,5.0,0.0,9.0,277.0,0.0,302.0,5.0,6181.0,0.15
136,Perry County,0.65,5.0,7.0,3.0,15.0,59.0,2.0,57.0,1.0,4597.0,0.33
137,Phillips County,0.65,4.0,0.0,0.0,4.0,56.0,12.0,59.0,44.0,4964.0,0.08
138,Pike County,0.88,12.0,0.0,0.0,12.0,92.0,3.0,92.0,0.0,4371.0,0.27
139,Poinsett County,0.86,8.0,105.0,0.0,113.0,107.0,1.0,107.0,17.0,7116.0,1.59
140,Polk County,0.88,15.0,102.0,2.0,119.0,206.0,6.0,206.0,11.0,8324.0,1.43
141,Pope County,0.90,43.0,138.0,4.0,185.0,347.0,32.0,347.0,19.0,24311.0,0.76
142,Prairie County,0.77,10.0,5.0,0.0,15.0,10.0,0.0,45.0,10.0,3216.0,0.47
143,Pulaski County,0.86,399.0,933.0,0.0,1332.0,3535.0,0.0,3535.0,318.0,155292.0,0.86
144,Randolph County,0.87,15.0,30.0,2.0,47.0,111.0,2.0,111.0,5.0,6655.0,0.71
145,St. Francis County,0.82,14.0,0.0,0.0,14.0,48.0,0.0,155.0,7.0,5897.0,0.24
146,Saline County,0.89,155.0,47.0,5.0,207.0,803.0,0.0,0.0,7.0,0.0,inf
147,Scott County,0.92,1.0,22.0,0.0,23.0,49.0,1.0,49.0,3.0,3376.0,0.68
148,Searcy County,0.00,0.0,0.0,0.0,0.0,65.0,2.0,65.0,0.0,3899.0,0.0
149,Sebastian County,0.92,145.0,172.0,0.0,317.0,754.0,53.0,836.0,54.0,45688.0,0.69
150,Sevier County,0.89,12.0,0.0,0.0,12.0,71.0,3.0,71.0,3.0,4741.0,0.25
151,Sharp County,0.87,0.0,4.0,0.0,4.0,187.0,11.0,187.0,3.0,7474.0,0.05
152,Stone County,0.87,27.0,20.0,0.0,47.0,129.0,3.0,126.0,50.0,6060.0,0.78
153,Union County,0.86,0.0,24.0,0.0,24.0,347.0,0.0,347.0,12.0,15524.0,0.15
154,Van Buren County,0.89,15.0,12.0,0.0,27.0,204.0,14.0,213.0,16.0,7697.0,0.35
155,Washington County,0.90,239.0,579.0,14.0,832.0,1683.0,267.0,1683.0,114.0,97917.0,0.85
156,White County,0.92,29.0,133.0,20.0,182.0,603.0,43.0,603.0,13.0,31027.0,0.59
157,Woodruff County,0.86,0.0,17.0,0.0,17.0,0.0,6.0,0.0,0.0,2327.0,0.73
158,Yell County,0.92,27.0,0.0,0.0,27.0,47.0,0.0,47.0,25.0,6463.0,0.42
159,Alpine County,0.82,6.0,0.0,0.0,6.0,728.0,3.0,0.0,0.0,749.0,0.8
160,Amador County,0.87,36.0,2.0,1.0,39.0,20403.0,49.0,0.0,11.0,22739.0,0.17
161,Butte County,0.87,1171.0,183.0,12.0,1366.0,91733.0,359.0,0.0,3909.0,96106.0,1.42
162,Colusa County,0.87,124.0,2.0,1.0,127.0,7018.0,13.0,0.0,157.0,7193.0,1.77
163,Contra Costa County,0.87,4226.0,988.0,260.0,5474.0,464641.0,3400.0,0.0,10373.0,539459.0,1.01
164,Del Norte County,0.85,222.0,0.0,0.0,222.0,8970.0,20.0,0.0,23.0,10647.0,2.09
165,El Dorado County,0.87,2269.0,72.0,0.0,2341.0,101453.0,378.0,0.0,1438.0,114003.0,2.05
166,Fresno County,0.87,2977.0,880.0,62.0,3919.0,265642.0,668.0,0.0,5868.0,329272.0,1.19
167,Glenn County,0.87,94.0,33.0,0.0,127.0,9599.0,16.0,0.0,211.0,10553.0,1.2
168,Humboldt County,0.95,498.0,9.0,7.0,514.0,53303.0,292.0,0.0,1368.0,65187.0,0.79
169,Imperial County,0.87,944.0,203.0,4.0,1151.0,46640.0,62.0,0.0,5375.0,53929.0,2.13
170,Inyo County,0.87,12.0,0.0,1.0,13.0,7101.0,31.0,0.0,206.0,9096.0,0.14
171,Kern County,0.87,2414.0,558.0,11.0,2983.0,236824.0,573.0,0.0,6177.0,286452.0,1.04
172,Kings County,0.87,537.0,25.0,7.0,569.0,35249.0,93.0,0.0,1056.0,42016.0,1.35
173,Lake County,0.95,380.0,56.0,8.0,444.0,23223.0,111.0,0.0,1275.0,27107.0,1.64
174,Lassen County,0.85,67.0,25.0,0.0,92.0,10991.0,24.0,0.0,304.0,11496.0,0.8
175,Los Angeles County,0.95,20373.0,10832.0,1158.0,32363.0,2722858.0,20661.0,0.0,994.0,3806684.0,0.85
176,Madera County,0.87,277.0,65.0,4.0,346.0,46769.0,92.0,0.0,1062.0,55422.0,0.62
177,Marin County,0.87,1696.0,56.0,57.0,1809.0,128316.0,2240.0,0.0,2329.0,146850.0,1.23
178,Mariposa County,0.87,72.0,29.0,0.0,101.0,9434.0,19.0,0.0,0.0,9613.0,1.05
179,Mendocino County,0.95,141.0,22.0,5.0,168.0,37154.0,204.0,0.0,2295.0,39837.0,0.42
180,Merced County,0.84,1019.0,131.0,5.0,1155.0,73165.0,116.0,0.0,2558.0,87432.0,1.32
181,Modoc County,0.84,108.0,3.0,0.0,111.0,3644.0,10.0,0.0,142.0,4068.0,2.73
182,Mono County,0.85,54.0,13.0,3.0,70.0,5001.0,41.0,0.0,236.0,6168.0,1.13
183,Monterey County,0.87,864.0,296.0,14.0,1174.0,130507.0,1084.0,0.0,6874.0,148916.0,0.79
184,Napa County,0.87,456.0,13.0,13.0,482.0,61347.0,418.0,0.0,4.0,66630.0,0.72
185,Nevada County,0.95,358.0,88.0,6.0,452.0,54835.0,358.0,0.0,1092.0,63240.0,0.71
186,Orange County,0.95,13734.0,5155.0,221.0,19110.0,1089134.0,5620.0,0.0,32594.0,1417284.0,1.35
187,Placer County,0.87,1159.0,487.0,30.0,1676.0,182389.0,788.0,0.0,4117.0,239402.0,0.7
188,Plumas County,0.86,74.0,2.0,4.0,80.0,10070.0,26.0,0.0,90.0,10186.0,0.79
189,Riverside County,0.87,11417.0,1717.0,75.0,13209.0,788991.0,2472.0,0.0,32694.0,959098.0,1.38
190,Sacramento County,0.87,4399.0,240.0,102.0,4741.0,594831.0,2294.0,0.0,15977.0,668416.0,0.71
191,San Benito County,0.87,616.0,4.0,2.0,622.0,23986.0,53.0,0.0,1.0,28018.0,2.22
192,San Bernardino County,0.87,9422.0,3488.0,72.0,12982.0,605151.0,1972.0,0.0,0.0,770726.0,1.68
193,San Diego County,0.87,9447.0,3671.0,430.0,13548.0,1266633.0,8671.0,0.0,39558.0,1503018.0,0.9
194,San Francisco County,0.87,1633.0,1475.0,267.0,3375.0,340614.0,7121.0,0.0,12491.0,411691.0,0.82
195,San Joaquin County,0.95,2737.0,1371.0,18.0,4126.0,217619.0,503.0,0.0,686.0,267627.0,1.54
196,San Luis Obispo County,0.85,1072.0,595.0,18.0,1685.0,140607.0,641.0,0.0,3452.0,153424.0,1.1
197,San Mateo County,0.87,2184.0,229.0,98.0,2511.0,294540.0,2910.0,0.0,4685.0,336922.0,0.75
198,Santa Barbara County,0.87,1624.0,774.0,62.0,2460.0,161262.0,1455.0,0.0,4390.0,187876.0,1.31
199,Santa Clara County,0.85,2821.0,1621.0,1929.0,6371.0,662881.0,5619.0,0.0,14530.0,766370.0,0.83
200,Santa Cruz County,0.87,444.0,210.0,16.0,670.0,115818.0,1201.0,0.0,4235.0,136505.0,0.49
201,Shasta County,0.95,429.0,150.0,7.0,586.0,76401.0,128.0,0.0,1568.0,89686.0,0.65
202,Sierra County,0.95,18.0,0.0,1.0,19.0,1765.0,6.0,0.0,9.0,1780.0,1.07
203,Siskiyou County,0.85,172.0,5.0,1.0,178.0,18582.0,66.0,0.0,107.0,21803.0,0.82
204,Solano County,0.95,793.0,142.0,24.0,959.0,156116.0,674.0,0.0,7849.0,192397.0,0.5
205,Sonoma County,0.87,1659.0,28.0,48.0,1735.0,234189.0,1463.0,0.0,4810.0,258450.0,0.67
206,Stanislaus County,0.95,2050.0,643.0,15.0,2708.0,170095.0,374.0,0.0,3971.0,200183.0,1.35
207,Sutter County,0.87,111.0,0.0,0.0,111.0,35314.0,90.0,0.0,893.0,39867.0,0.28
208,Tehama County,0.88,396.0,36.0,0.0,432.0,22680.0,56.0,0.0,820.0,26806.0,1.61
209,Trinity County,0.95,161.0,0.0,0.0,161.0,5359.0,34.0,0.0,45.0,5755.0,2.8
210,Tulare County,0.87,1256.0,118.0,1.0,1375.0,109603.0,160.0,0.0,1044.0,139780.0,0.98
211,Tuolumne County,0.87,199.0,10.0,2.0,211.0,26974.0,85.0,0.0,475.0,29237.0,0.72
212,Ventura County,0.87,3781.0,231.0,119.0,4131.0,330258.0,1622.0,0.0,3323.0,394294.0,1.05
213,Yolo County,0.95,1320.0,184.0,28.0,1532.0,79607.0,522.0,0.0,5032.0,94502.0,1.62
214,Yuba County,0.87,427.0,52.0,3.0,482.0,25295.0,75.0,0.0,801.0,30443.0,1.58
215,Alameda County,0.00,6103.0,62.0,246.0,6411.0,596763.0,5827.0,0.0,909.0,695036.0,0.92
216,Calaveras County,0.95,195.0,28.0,3.0,226.0,22243.0,74.0,0.0,6.0,26884.0,0.84
217,Adams County,0.87,4648.0,0.0,48.0,4696.0,215581.0,1190.0,0.0,0.0,236377.0,1.99
218,Alamosa County,0.86,89.0,0.0,0.0,89.0,7622.0,48.0,0.0,1.0,7674.0,1.16
219,Arapahoe County,0.87,4198.0,38.0,73.0,4309.0,302694.0,3257.0,0.0,18.0,330977.0,1.3
220,Archuleta County,0.87,105.0,1.0,0.0,106.0,8744.0,82.0,0.0,2.0,9489.0,1.12
221,Baca County,0.86,13.0,0.0,0.0,13.0,1882.0,12.0,0.0,0.0,2034.0,0.64
222,Bent County,0.86,22.0,0.0,0.0,22.0,2062.0,11.0,0.0,0.0,2221.0,0.99
223,Boulder County,0.87,3793.0,3.0,196.0,3992.0,180573.0,4051.0,0.0,9.0,198885.0,2.01
224,Broomfield County,0.87,431.0,2.0,9.0,442.0,43938.0,366.0,0.0,0.0,47545.0,0.93
225,Chaffee County,0.87,57.0,0.0,0.0,57.0,13601.0,143.0,0.0,0.0,14628.0,0.39
226,Cheyenne County,0.86,4.0,1.0,0.0,5.0,1010.0,5.0,0.0,0.0,1064.0,0.47
227,Clear Creek County,0.87,70.0,0.0,0.0,70.0,5689.0,63.0,0.0,0.0,6181.0,1.13
228,Conejos County,0.87,17.0,0.0,0.0,17.0,3976.0,13.0,0.0,0.0,4196.0,0.41
229,Costilla County,0.86,21.0,0.0,0.0,21.0,2082.0,14.0,0.0,0.0,2149.0,0.98
230,Crowley County,0.86,5.0,0.0,0.0,5.0,1716.0,4.0,0.0,0.0,1729.0,0.29
231,Custer County,0.86,11.0,0.0,0.0,11.0,3632.0,45.0,0.0,0.0,3932.0,0.28
232,Delta County,0.87,311.0,0.0,2.0,313.0,18326.0,118.0,0.0,0.0,19744.0,1.59
233,Denver County,0.87,5942.0,44.0,128.0,6114.0,330044.0,4573.0,0.0,44.0,369373.0,1.66
234,Dolores County,0.86,48.0,2.0,0.0,50.0,1426.0,1.0,0.0,2.0,1429.0,3.5
235,Douglas County,1.00,2601.0,21.0,68.0,2690.0,231125.0,2009.0,0.0,18.0,248052.0,1.08
236,Eagle County,0.87,477.0,0.0,16.0,493.0,25499.0,527.0,0.0,2.0,28226.0,1.75
237,Elbert County,0.87,160.0,0.0,3.0,163.0,19220.0,160.0,0.0,0.0,20658.0,0.79
238,El Paso County,0.87,5126.0,19.0,276.0,5421.0,348344.0,4748.0,0.0,36.0,387493.0,1.4
239,Fremont County,0.87,176.0,0.0,2.0,178.0,23732.0,152.0,0.0,2.0,25831.0,0.69
240,Garfield County,1.00,368.0,5.0,7.0,380.0,28949.0,294.0,0.0,5.0,30769.0,1.24
241,Gilpin County,0.86,48.0,0.0,1.0,49.0,3835.0,40.0,0.0,2.0,4187.0,1.17
242,Grand County,0.87,67.0,0.0,4.0,71.0,9282.0,142.0,0.0,0.0,10064.0,0.71
243,Gunnison County,0.87,64.0,2.0,1.0,67.0,10759.0,190.0,0.0,0.0,11126.0,0.6
244,Hinsdale County,0.86,2.0,0.0,0.0,2.0,613.0,5.0,0.0,0.0,618.0,0.32
245,Huerfano County,0.86,27.0,0.0,0.0,27.0,4473.0,36.0,0.0,0.0,4511.0,0.6
246,Jackson County,0.86,0.0,0.0,0.0,0.0,832.0,7.0,0.0,0.0,845.0,0.0
247,Jefferson County,0.87,2814.0,46.0,54.0,2914.0,338903.0,3246.0,0.0,20.0,367416.0,0.79
248,Kiowa County,0.86,0.0,0.0,0.0,0.0,865.0,3.0,0.0,0.0,868.0,0.0
249,Kit Carson County,0.86,39.0,2.0,0.0,41.0,3471.0,11.0,0.0,0.0,3739.0,1.1
250,Lake County,0.87,39.0,0.0,2.0,41.0,3420.0,51.0,0.0,0.0,3973.0,1.03
251,La Plata County,0.87,272.0,1.0,0.0,273.0,32521.0,431.0,0.0,0.0,36175.0,0.75
252,Larimer County,0.87,2273.0,14.0,32.0,2319.0,209550.0,2246.0,0.0,6.0,229064.0,1.01
